id,identifiant,name,source,famille
item_minecraft_spyglass_in_hand,minecraft:spyglass_in_hand,Spyglass In Hand,Minecraft,
item_minecraft_fishing_rod,minecraft:fishing_rod,Fishing Rod,Minecraft,
item_minecraft_crossbow,minecraft:crossbow,Crossbow,Minecraft,
item_minecraft_crossbow_arrow,minecraft:crossbow_arrow,Crossbow Arrow,Minecraft,
item_minecraft_air,minecraft:air,Air,Minecraft,
item_minecraft_amethyst_cluster,minecraft:amethyst_cluster,Amethyst Cluster,Minecraft,
item_minecraft_brush_brushing_2,minecraft:brush_brushing_2,Brush Brushing 2,Minecraft,
item_minecraft_crossbow_firework,minecraft:crossbow_firework,Crossbow Firework,Minecraft,
item_minecraft_dragon_head,minecraft:dragon_head,Dragon Head,Minecraft,
item_minecraft_generated,minecraft:generated,Generated,Minecraft,
item_minecraft_pointed_dripstone,minecraft:pointed_dripstone,Pointed Dripstone,Minecraft,
item_minecraft_recovery_compass,minecraft:recovery_compass,Recovery Compass,Minecraft,
item_minecraft_bundle_filled,minecraft:bundle_filled,Bundle Filled,Minecraft,
item_minecraft_shield_blocking,minecraft:shield_blocking,Shield Blocking,Minecraft,
item_minecraft_template_music_disc,minecraft:template_music_disc,Template Music Disc,Minecraft,
item_minecraft_crossbow_pulling_0,minecraft:crossbow_pulling_0,Crossbow Pulling 0,Minecraft,
item_minecraft_small_dripleaf,minecraft:small_dripleaf,Small Dripleaf,Minecraft,
item_minecraft_bow_pulling_2,minecraft:bow_pulling_2,Bow Pulling 2,Minecraft,
item_minecraft_clock,minecraft:clock,Clock,Minecraft,
item_minecraft_template_banner,minecraft:template_banner,Template Banner,Minecraft,
item_minecraft_template_shulker_box,minecraft:template_shulker_box,Template Shulker Box,Minecraft,
item_minecraft_brush_brushing_1,minecraft:brush_brushing_1,Brush Brushing 1,Minecraft,
item_minecraft_mangrove_sign,minecraft:mangrove_sign,Mangrove Sign,Minecraft,
item_minecraft_iron_helmet_amethyst_trim,minecraft:iron_helmet_amethyst_trim,Iron Helmet Amethyst Trim,Minecraft,
item_minecraft_chiseled_tuff,minecraft:chiseled_tuff,Chiseled Tuff,Minecraft,
item_minecraft_honeycomb,minecraft:honeycomb,Honeycomb,Minecraft,
item_minecraft_oak_stairs,minecraft:oak_stairs,Oak Stairs,Minecraft,
item_minecraft_prismarine_bricks,minecraft:prismarine_bricks,Prismarine Bricks,Minecraft,
item_minecraft_chainmail_helmet_netherite_trim,minecraft:chainmail_helmet_netherite_trim,Chainmail Helmet Netherite Trim,Minecraft,
item_minecraft_infested_chiseled_stone_bricks,minecraft:infested_chiseled_stone_bricks,Infested Chiseled Stone Bricks,Minecraft,
item_minecraft_exposed_copper_door,minecraft:exposed_copper_door,Exposed Copper Door,Minecraft,
item_minecraft_heartbreak_pottery_sherd,minecraft:heartbreak_pottery_sherd,Heartbreak Pottery Sherd,Minecraft,
item_minecraft_netherite_chestplate_lapis_trim,minecraft:netherite_chestplate_lapis_trim,Netherite Chestplate Lapis Trim,Minecraft,
item_minecraft_ladder,minecraft:ladder,Ladder,Minecraft,
item_minecraft_recovery_compass_25,minecraft:recovery_compass_25,Recovery Compass 25,Minecraft,
item_minecraft_cherry_sapling,minecraft:cherry_sapling,Cherry Sapling,Minecraft,
item_minecraft_magenta_dye,minecraft:magenta_dye,Magenta Dye,Minecraft,
item_minecraft_bamboo,minecraft:bamboo,Bamboo,Minecraft,
item_minecraft_hopper_minecart,minecraft:hopper_minecart,Minecart with Hopper,Minecraft,
item_minecraft_prismarine,minecraft:prismarine,Prismarine,Minecraft,
item_minecraft_light_blue_carpet,minecraft:light_blue_carpet,Light Blue Carpet,Minecraft,
item_minecraft_chainmail_leggings_iron_trim,minecraft:chainmail_leggings_iron_trim,Chainmail Leggings Iron Trim,Minecraft,
item_minecraft_iron_chestplate_amethyst_trim,minecraft:iron_chestplate_amethyst_trim,Iron Chestplate Amethyst Trim,Minecraft,
item_minecraft_leather_helmet_diamond_trim,minecraft:leather_helmet_diamond_trim,Leather Helmet Diamond Trim,Minecraft,
item_minecraft_sponge,minecraft:sponge,Sponge,Minecraft,
item_minecraft_white_concrete_powder,minecraft:white_concrete_powder,White Concrete Powder,Minecraft,
item_minecraft_chainmail_helmet_redstone_trim,minecraft:chainmail_helmet_redstone_trim,Chainmail Helmet Redstone Trim,Minecraft,
item_minecraft_warped_nylium,minecraft:warped_nylium,Warped Nylium,Minecraft,
item_minecraft_spruce_stairs,minecraft:spruce_stairs,Spruce Stairs,Minecraft,
item_minecraft_dead_tube_coral_fan,minecraft:dead_tube_coral_fan,Dead Tube Coral Fan,Minecraft,
item_minecraft_chainmail_chestplate_gold_trim,minecraft:chainmail_chestplate_gold_trim,Chainmail Chestplate Gold Trim,Minecraft,
item_minecraft_leather_leggings_netherite_trim,minecraft:leather_leggings_netherite_trim,Leather Leggings Netherite Trim,Minecraft,
item_minecraft_angler_pottery_sherd,minecraft:angler_pottery_sherd,Angler Pottery Sherd,Minecraft,
item_minecraft_jukebox,minecraft:jukebox,Jukebox,Minecraft,
item_minecraft_chainmail_boots_quartz_trim,minecraft:chainmail_boots_quartz_trim,Chainmail Boots Quartz Trim,Minecraft,
item_minecraft_snowball,minecraft:snowball,Snowball,Minecraft,
item_minecraft_cyan_wool,minecraft:cyan_wool,Cyan Wool,Minecraft,
item_minecraft_golden_helmet,minecraft:golden_helmet,Golden Helmet,Minecraft,
item_minecraft_chainmail_boots_copper_trim,minecraft:chainmail_boots_copper_trim,Chainmail Boots Copper Trim,Minecraft,
item_minecraft_nether_wart,minecraft:nether_wart,Nether Wart,Minecraft,
item_minecraft_brewing_stand,minecraft:brewing_stand,Brewing Stand,Minecraft,
item_minecraft_white_carpet,minecraft:white_carpet,White Carpet,Minecraft,
item_minecraft_wither_skeleton_spawn_egg,minecraft:wither_skeleton_spawn_egg,Wither Skeleton Spawn Egg,Minecraft,
item_minecraft_waxed_exposed_cut_copper,minecraft:waxed_exposed_cut_copper,Waxed Exposed Cut Copper,Minecraft,
item_minecraft_snout_armor_trim_smithing_template,minecraft:snout_armor_trim_smithing_template,Smithing Template,Minecraft,
item_minecraft_dead_bubble_coral,minecraft:dead_bubble_coral,Dead Bubble Coral,Minecraft,
item_minecraft_plenty_pottery_sherd,minecraft:plenty_pottery_sherd,Plenty Pottery Sherd,Minecraft,
item_minecraft_chiseled_nether_bricks,minecraft:chiseled_nether_bricks,Chiseled Nether Bricks,Minecraft,
item_minecraft_recovery_compass_00,minecraft:recovery_compass_00,Recovery Compass 00,Minecraft,
item_minecraft_bubble_coral_block,minecraft:bubble_coral_block,Bubble Coral Block,Minecraft,
item_minecraft_black_terracotta,minecraft:black_terracotta,Black Terracotta,Minecraft,
item_minecraft_stripped_birch_log,minecraft:stripped_birch_log,Stripped Birch Log,Minecraft,
item_minecraft_crimson_trapdoor,minecraft:crimson_trapdoor,Crimson Trapdoor,Minecraft,
item_minecraft_redstone,minecraft:redstone,Redstone Dust,Minecraft,
item_minecraft_chainmail_leggings_netherite_trim,minecraft:chainmail_leggings_netherite_trim,Chainmail Leggings Netherite Trim,Minecraft,
item_minecraft_purple_wool,minecraft:purple_wool,Purple Wool,Minecraft,
item_minecraft_clock_16,minecraft:clock_16,Clock 16,Minecraft,
item_minecraft_repeater,minecraft:repeater,Redstone Repeater,Minecraft,
item_minecraft_chainmail_leggings_diamond_trim,minecraft:chainmail_leggings_diamond_trim,Chainmail Leggings Diamond Trim,Minecraft,
item_minecraft_nautilus_shell,minecraft:nautilus_shell,Nautilus Shell,Minecraft,
item_minecraft_diamond_leggings_lapis_trim,minecraft:diamond_leggings_lapis_trim,Diamond Leggings Lapis Trim,Minecraft,
item_minecraft_diamond_boots_lapis_trim,minecraft:diamond_boots_lapis_trim,Diamond Boots Lapis Trim,Minecraft,
item_minecraft_cartography_table,minecraft:cartography_table,Cartography Table,Minecraft,
item_minecraft_stripped_spruce_wood,minecraft:stripped_spruce_wood,Stripped Spruce Wood,Minecraft,
item_minecraft_clock_51,minecraft:clock_51,Clock 51,Minecraft,
item_minecraft_bamboo_fence_gate,minecraft:bamboo_fence_gate,Bamboo Fence Gate,Minecraft,
item_minecraft_dried_kelp_block,minecraft:dried_kelp_block,Dried Kelp Block,Minecraft,
item_minecraft_music_disc_stal,minecraft:music_disc_stal,Music Disc,Minecraft,
item_minecraft_netherite_boots_amethyst_trim,minecraft:netherite_boots_amethyst_trim,Netherite Boots Amethyst Trim,Minecraft,
item_minecraft_granite_slab,minecraft:granite_slab,Granite Slab,Minecraft,
item_minecraft_cyan_concrete_powder,minecraft:cyan_concrete_powder,Cyan Concrete Powder,Minecraft,
item_minecraft_experience_bottle,minecraft:experience_bottle,Bottle o' Enchanting,Minecraft,
item_minecraft_iron_leggings_amethyst_trim,minecraft:iron_leggings_amethyst_trim,Iron Leggings Amethyst Trim,Minecraft,
item_minecraft_black_glazed_terracotta,minecraft:black_glazed_terracotta,Black Glazed Terracotta,Minecraft,
item_minecraft_stone_button,minecraft:stone_button,Stone Button,Minecraft,
item_minecraft_waxed_weathered_cut_copper,minecraft:waxed_weathered_cut_copper,Waxed Weathered Cut Copper,Minecraft,
item_minecraft_infested_stone_bricks,minecraft:infested_stone_bricks,Infested Stone Bricks,Minecraft,
item_minecraft_quartz_slab,minecraft:quartz_slab,Quartz Slab,Minecraft,
item_minecraft_light_12,minecraft:light_12,Light 12,Minecraft,
item_minecraft_flow_pottery_sherd,minecraft:flow_pottery_sherd,Flow Pottery Sherd,Minecraft,
item_minecraft_chainmail_chestplate,minecraft:chainmail_chestplate,Chainmail Chestplate,Minecraft,
item_minecraft_raw_iron_block,minecraft:raw_iron_block,Block of Raw Iron,Minecraft,
item_minecraft_fermented_spider_eye,minecraft:fermented_spider_eye,Fermented Spider Eye,Minecraft,
item_minecraft_oak_slab,minecraft:oak_slab,Oak Slab,Minecraft,
item_minecraft_netherite_shovel,minecraft:netherite_shovel,Netherite Shovel,Minecraft,
item_minecraft_red_sandstone,minecraft:red_sandstone,Red Sandstone,Minecraft,
item_minecraft_light_04,minecraft:light_04,Light 04,Minecraft,
item_minecraft_mangrove_door,minecraft:mangrove_door,Mangrove Door,Minecraft,
item_minecraft_lantern,minecraft:lantern,Lantern,Minecraft,
item_minecraft_purpur_pillar,minecraft:purpur_pillar,Purpur Pillar,Minecraft,
item_minecraft_coal_ore,minecraft:coal_ore,Coal Ore,Minecraft,
item_minecraft_salmon,minecraft:salmon,Raw Salmon,Minecraft,
item_minecraft_golden_boots_diamond_trim,minecraft:golden_boots_diamond_trim,Golden Boots Diamond Trim,Minecraft,
item_minecraft_end_stone_brick_slab,minecraft:end_stone_brick_slab,End Stone Brick Slab,Minecraft,
item_minecraft_ward_armor_trim_smithing_template,minecraft:ward_armor_trim_smithing_template,Smithing Template,Minecraft,
item_minecraft_golden_helmet_quartz_trim,minecraft:golden_helmet_quartz_trim,Golden Helmet Quartz Trim,Minecraft,
item_minecraft_light_02,minecraft:light_02,Light 02,Minecraft,
item_minecraft_compass_10,minecraft:compass_10,Compass 10,Minecraft,
item_minecraft_blaze_powder,minecraft:blaze_powder,Blaze Powder,Minecraft,
item_minecraft_bamboo_trapdoor,minecraft:bamboo_trapdoor,Bamboo Trapdoor,Minecraft,
item_minecraft_glowstone,minecraft:glowstone,Glowstone,Minecraft,
item_minecraft_chiseled_deepslate,minecraft:chiseled_deepslate,Chiseled Deepslate,Minecraft,
item_minecraft_shulker_spawn_egg,minecraft:shulker_spawn_egg,Shulker Spawn Egg,Minecraft,
item_minecraft_glow_ink_sac,minecraft:glow_ink_sac,Glow Ink Sac,Minecraft,
item_minecraft_clock_01,minecraft:clock_01,Clock 01,Minecraft,
item_minecraft_golden_hoe,minecraft:golden_hoe,Golden Hoe,Minecraft,
item_minecraft_leather_helmet_copper_trim,minecraft:leather_helmet_copper_trim,Leather Helmet Copper Trim,Minecraft,
item_minecraft_recovery_compass_08,minecraft:recovery_compass_08,Recovery Compass 08,Minecraft,
item_minecraft_lime_glazed_terracotta,minecraft:lime_glazed_terracotta,Lime Glazed Terracotta,Minecraft,
item_minecraft_iron_sword,minecraft:iron_sword,Iron Sword,Minecraft,
item_minecraft_dark_oak_trapdoor,minecraft:dark_oak_trapdoor,Dark Oak Trapdoor,Minecraft,
item_minecraft_light_gray_bed,minecraft:light_gray_bed,Light Gray Bed,Minecraft,
item_minecraft_leather_helmet_quartz_trim,minecraft:leather_helmet_quartz_trim,Leather Helmet Quartz Trim,Minecraft,
item_minecraft_grass_block,minecraft:grass_block,Grass Block,Minecraft,
item_minecraft_bamboo_pressure_plate,minecraft:bamboo_pressure_plate,Bamboo Pressure Plate,Minecraft,
item_minecraft_cherry_slab,minecraft:cherry_slab,Cherry Slab,Minecraft,
item_minecraft_leather_chestplate_quartz_trim,minecraft:leather_chestplate_quartz_trim,Leather Chestplate Quartz Trim,Minecraft,
item_minecraft_jungle_button,minecraft:jungle_button,Jungle Button,Minecraft,
item_minecraft_compass_11,minecraft:compass_11,Compass 11,Minecraft,
item_minecraft_compass_18,minecraft:compass_18,Compass 18,Minecraft,
item_minecraft_minecart,minecraft:minecart,Minecart,Minecraft,
item_minecraft_clock_58,minecraft:clock_58,Clock 58,Minecraft,
item_minecraft_lime_bed,minecraft:lime_bed,Lime Bed,Minecraft,
item_minecraft_blue_orchid,minecraft:blue_orchid,Blue Orchid,Minecraft,
item_minecraft_fire_charge,minecraft:fire_charge,Fire Charge,Minecraft,
item_minecraft_quartz_stairs,minecraft:quartz_stairs,Quartz Stairs,Minecraft,
item_minecraft_vex_armor_trim_smithing_template,minecraft:vex_armor_trim_smithing_template,Smithing Template,Minecraft,
item_minecraft_bamboo_hanging_sign,minecraft:bamboo_hanging_sign,Bamboo Hanging Sign,Minecraft,
item_minecraft_acacia_button,minecraft:acacia_button,Acacia Button,Minecraft,
item_minecraft_lightning_rod,minecraft:lightning_rod,Lightning Rod,Minecraft,
item_minecraft_horn_coral,minecraft:horn_coral,Horn Coral,Minecraft,
item_minecraft_clock_25,minecraft:clock_25,Clock 25,Minecraft,
item_minecraft_compass_25,minecraft:compass_25,Compass 25,Minecraft,
item_minecraft_leather_boots_iron_trim,minecraft:leather_boots_iron_trim,Leather Boots Iron Trim,Minecraft,
item_minecraft_recovery_compass_20,minecraft:recovery_compass_20,Recovery Compass 20,Minecraft,
item_minecraft_cherry_hanging_sign,minecraft:cherry_hanging_sign,Cherry Hanging Sign,Minecraft,
item_minecraft_allay_spawn_egg,minecraft:allay_spawn_egg,Allay Spawn Egg,Minecraft,
item_minecraft_bamboo_mosaic_slab,minecraft:bamboo_mosaic_slab,Bamboo Mosaic Slab,Minecraft,
item_minecraft_dead_tube_coral,minecraft:dead_tube_coral,Dead Tube Coral,Minecraft,
item_minecraft_netherite_chestplate_iron_trim,minecraft:netherite_chestplate_iron_trim,Netherite Chestplate Iron Trim,Minecraft,
item_minecraft_mule_spawn_egg,minecraft:mule_spawn_egg,Mule Spawn Egg,Minecraft,
item_minecraft_gray_bed,minecraft:gray_bed,Gray Bed,Minecraft,
item_minecraft_allium,minecraft:allium,Allium,Minecraft,
item_minecraft_trader_llama_spawn_egg,minecraft:trader_llama_spawn_egg,Trader Llama Spawn Egg,Minecraft,
item_minecraft_clock_27,minecraft:clock_27,Clock 27,Minecraft,
item_minecraft_copper_bulb,minecraft:copper_bulb,Copper Bulb,Minecraft,
item_minecraft_red_concrete,minecraft:red_concrete,Red Concrete,Minecraft,
item_minecraft_oxidized_cut_copper_stairs,minecraft:oxidized_cut_copper_stairs,Oxidized Cut Copper Stairs,Minecraft,
item_minecraft_diamond_boots_quartz_trim,minecraft:diamond_boots_quartz_trim,Diamond Boots Quartz Trim,Minecraft,
item_minecraft_tuff_wall,minecraft:tuff_wall,Tuff Wall,Minecraft,
item_minecraft_diamond_chestplate_diamond_darker_trim,minecraft:diamond_chestplate_diamond_darker_trim,Diamond Chestplate Diamond Darker Trim,Minecraft,
item_minecraft_skeleton_horse_spawn_egg,minecraft:skeleton_horse_spawn_egg,Skeleton Horse Spawn Egg,Minecraft,
item_minecraft_gold_nugget,minecraft:gold_nugget,Gold Nugget,Minecraft,
item_minecraft_blue_banner,minecraft:blue_banner,Blue Banner,Minecraft,
item_minecraft_magenta_concrete_powder,minecraft:magenta_concrete_powder,Magenta Concrete Powder,Minecraft,
item_minecraft_green_stained_glass_pane,minecraft:green_stained_glass_pane,Green Stained Glass Pane,Minecraft,
item_minecraft_carrot,minecraft:carrot,Carrot,Minecraft,
item_minecraft_gray_dye,minecraft:gray_dye,Gray Dye,Minecraft,
item_minecraft_acacia_slab,minecraft:acacia_slab,Acacia Slab,Minecraft,
item_minecraft_waxed_exposed_copper_door,minecraft:waxed_exposed_copper_door,Waxed Exposed Copper Door,Minecraft,
item_minecraft_waxed_oxidized_copper_trapdoor,minecraft:waxed_oxidized_copper_trapdoor,Waxed Oxidized Copper Trapdoor,Minecraft,
item_minecraft_iron_leggings_emerald_trim,minecraft:iron_leggings_emerald_trim,Iron Leggings Emerald Trim,Minecraft,
item_minecraft_zombie_spawn_egg,minecraft:zombie_spawn_egg,Zombie Spawn Egg,Minecraft,
item_minecraft_apple,minecraft:apple,Apple,Minecraft,
item_minecraft_purple_concrete_powder,minecraft:purple_concrete_powder,Purple Concrete Powder,Minecraft,
item_minecraft_dead_bush,minecraft:dead_bush,Dead Bush,Minecraft,
item_minecraft_flint,minecraft:flint,Flint,Minecraft,
item_minecraft_guster_banner_pattern,minecraft:guster_banner_pattern,Banner Pattern,Minecraft,
item_minecraft_charcoal,minecraft:charcoal,Charcoal,Minecraft,
item_minecraft_clock_43,minecraft:clock_43,Clock 43,Minecraft,
item_minecraft_waxed_copper_trapdoor,minecraft:waxed_copper_trapdoor,Waxed Copper Trapdoor,Minecraft,
item_minecraft_activator_rail,minecraft:activator_rail,Activator Rail,Minecraft,
item_minecraft_chiseled_red_sandstone,minecraft:chiseled_red_sandstone,Chiseled Red Sandstone,Minecraft,
item_minecraft_iron_leggings_quartz_trim,minecraft:iron_leggings_quartz_trim,Iron Leggings Quartz Trim,Minecraft,
item_minecraft_golden_chestplate_netherite_trim,minecraft:golden_chestplate_netherite_trim,Golden Chestplate Netherite Trim,Minecraft,
item_minecraft_chainmail_boots,minecraft:chainmail_boots,Chainmail Boots,Minecraft,
item_minecraft_orange_stained_glass_pane,minecraft:orange_stained_glass_pane,Orange Stained Glass Pane,Minecraft,
item_minecraft_raiser_armor_trim_smithing_template,minecraft:raiser_armor_trim_smithing_template,Smithing Template,Minecraft,
item_minecraft_wither_rose,minecraft:wither_rose,Wither Rose,Minecraft,
item_minecraft_warped_wart_block,minecraft:warped_wart_block,Warped Wart Block,Minecraft,
item_minecraft_purpur_block,minecraft:purpur_block,Purpur Block,Minecraft,
item_minecraft_netherite_helmet,minecraft:netherite_helmet,Netherite Helmet,Minecraft,
item_minecraft_oak_wood,minecraft:oak_wood,Oak Wood,Minecraft,
item_minecraft_leather_chestplate_gold_trim,minecraft:leather_chestplate_gold_trim,Leather Chestplate Gold Trim,Minecraft,
item_minecraft_dead_bubble_coral_fan,minecraft:dead_bubble_coral_fan,Dead Bubble Coral Fan,Minecraft,
item_minecraft_diamond_chestplate_copper_trim,minecraft:diamond_chestplate_copper_trim,Diamond Chestplate Copper Trim,Minecraft,
item_minecraft_wooden_hoe,minecraft:wooden_hoe,Wooden Hoe,Minecraft,
item_minecraft_recovery_compass_10,minecraft:recovery_compass_10,Recovery Compass 10,Minecraft,
item_minecraft_light_09,minecraft:light_09,Light 09,Minecraft,
item_minecraft_nether_brick_wall,minecraft:nether_brick_wall,Nether Brick Wall,Minecraft,
item_minecraft_mossy_cobblestone_slab,minecraft:mossy_cobblestone_slab,Mossy Cobblestone Slab,Minecraft,
item_minecraft_spruce_hanging_sign,minecraft:spruce_hanging_sign,Spruce Hanging Sign,Minecraft,
item_minecraft_cyan_stained_glass,minecraft:cyan_stained_glass,Cyan Stained Glass,Minecraft,
item_minecraft_damaged_anvil,minecraft:damaged_anvil,Damaged Anvil,Minecraft,
item_minecraft_jungle_fence_gate,minecraft:jungle_fence_gate,Jungle Fence Gate,Minecraft,
item_minecraft_repeating_command_block,minecraft:repeating_command_block,Repeating Command Block,Minecraft,
item_minecraft_oak_pressure_plate,minecraft:oak_pressure_plate,Oak Pressure Plate,Minecraft,
item_minecraft_white_tulip,minecraft:white_tulip,White Tulip,Minecraft,
item_minecraft_red_sandstone_slab,minecraft:red_sandstone_slab,Red Sandstone Slab,Minecraft,
item_minecraft_polished_diorite_stairs,minecraft:polished_diorite_stairs,Polished Diorite Stairs,Minecraft,
item_minecraft_burn_pottery_sherd,minecraft:burn_pottery_sherd,Burn Pottery Sherd,Minecraft,
item_minecraft_yellow_stained_glass_pane,minecraft:yellow_stained_glass_pane,Yellow Stained Glass Pane,Minecraft,
item_minecraft_glow_squid_spawn_egg,minecraft:glow_squid_spawn_egg,Glow Squid Spawn Egg,Minecraft,
item_minecraft_melon_seeds,minecraft:melon_seeds,Melon Seeds,Minecraft,
item_minecraft_firework_rocket,minecraft:firework_rocket,Firework Rocket,Minecraft,
item_minecraft_cornflower,minecraft:cornflower,Cornflower,Minecraft,
item_minecraft_diamond_leggings_redstone_trim,minecraft:diamond_leggings_redstone_trim,Diamond Leggings Redstone Trim,Minecraft,
item_minecraft_waxed_weathered_copper_trapdoor,minecraft:waxed_weathered_copper_trapdoor,Waxed Weathered Copper Trapdoor,Minecraft,
item_minecraft_soul_torch,minecraft:soul_torch,Soul Torch,Minecraft,
item_minecraft_waxed_weathered_copper_grate,minecraft:waxed_weathered_copper_grate,Waxed Weathered Copper Grate,Minecraft,
item_minecraft_goat_spawn_egg,minecraft:goat_spawn_egg,Goat Spawn Egg,Minecraft,
item_minecraft_acacia_fence_gate,minecraft:acacia_fence_gate,Acacia Fence Gate,Minecraft,
item_minecraft_stripped_bamboo_block,minecraft:stripped_bamboo_block,Block of Stripped Bamboo,Minecraft,
item_minecraft_lily_pad,minecraft:lily_pad,Lily Pad,Minecraft,
item_minecraft_mangrove_wood,minecraft:mangrove_wood,Mangrove Wood,Minecraft,
item_minecraft_nether_quartz_ore,minecraft:nether_quartz_ore,Nether Quartz Ore,Minecraft,
item_minecraft_clock_29,minecraft:clock_29,Clock 29,Minecraft,
item_minecraft_respawn_anchor,minecraft:respawn_anchor,Respawn Anchor,Minecraft,
item_minecraft_ender_pearl,minecraft:ender_pearl,Ender Pearl,Minecraft,
item_minecraft_flower_pot,minecraft:flower_pot,Flower Pot,Minecraft,
item_minecraft_waxed_oxidized_copper_bulb,minecraft:waxed_oxidized_copper_bulb,Waxed Oxidized Copper Bulb,Minecraft,
item_minecraft_golden_helmet_gold_darker_trim,minecraft:golden_helmet_gold_darker_trim,Golden Helmet Gold Darker Trim,Minecraft,
item_minecraft_oak_trapdoor,minecraft:oak_trapdoor,Oak Trapdoor,Minecraft,
item_minecraft_wind_charge,minecraft:wind_charge,Wind Charge,Minecraft,
item_minecraft_furnace,minecraft:furnace,Furnace,Minecraft,
item_minecraft_leather_chestplate_redstone_trim,minecraft:leather_chestplate_redstone_trim,Leather Chestplate Redstone Trim,Minecraft,
item_minecraft_mangrove_propagule,minecraft:mangrove_propagule,Mangrove Propagule,Minecraft,
item_minecraft_netherite_pickaxe,minecraft:netherite_pickaxe,Netherite Pickaxe,Minecraft,
item_minecraft_brick_slab,minecraft:brick_slab,Brick Slab,Minecraft,
item_minecraft_chainmail_chestplate_netherite_trim,minecraft:chainmail_chestplate_netherite_trim,Chainmail Chestplate Netherite Trim,Minecraft,
item_minecraft_light_gray_terracotta,minecraft:light_gray_terracotta,Light Gray Terracotta,Minecraft,
item_minecraft_tadpole_bucket,minecraft:tadpole_bucket,Bucket of Tadpole,Minecraft,
item_minecraft_recovery_compass_22,minecraft:recovery_compass_22,Recovery Compass 22,Minecraft,
item_minecraft_cooked_chicken,minecraft:cooked_chicken,Cooked Chicken,Minecraft,
item_minecraft_powered_rail,minecraft:powered_rail,Powered Rail,Minecraft,
item_minecraft_stripped_cherry_log,minecraft:stripped_cherry_log,Stripped Cherry Log,Minecraft,
item_minecraft_iron_chestplate_diamond_trim,minecraft:iron_chestplate_diamond_trim,Iron Chestplate Diamond Trim,Minecraft,
